id;genres;keywords;original_title;runtime;vote_average;vote_count;director
68728;Fantasy Adventure Family;circus witch magic hope illusion;Oz: The Great and Powerful;130.0;5.7;3530;Sam Raimi
102382;Action Adventure Fantasy;obsession marvel comic sequel based on comic book electrocution;The Amazing Spider-Man 2;142.0;6.5;4179;Marc Webb
20526;Adventure Action Science_Fiction;artificial intelligence secret identity computer program dystopia computer;TRON: Legacy;125.0;6.3;2841;Joseph Kosinski
49013;Animation Family Adventure Comedy;car race sequel comedy anthropomorphism best friend;Cars 2;106.0;5.8;2033;John Lasseter
44912;Adventure Action Thriller Science_Fiction;dc comics transformation superhero alien alien infection;Green Lantern;114.0;5.1;2487;Martin Campbell
10193;Animation Family Comedy;hostage college toy barbie animation;Toy Story 3;103.0;7.6;4597;Lee Unkrich
534;Action Science_Fiction Thriller;saving the world artificial intelligence prophecy san francisco cyborg;Terminator Salvation;115.0;5.9;2463;McG
168259;Action;car race speed revenge suspense car;Furious 7;137.0;7.3;4176;James Wan
72190;Action Drama Horror Science_Fiction Thriller;dystopia apocalypse zombie nuclear weapons multiple perspectives;World War Z;116.0;6.7;5560;Marc Forster
127585;Action Adventure Fantasy Science_Fiction;1970s mutant time travel marvel comic based on comic book;X-Men: Days of Future Past;131.0;7.5;6032;Bryan Singer
54138;Action Adventure Science_Fiction;spacecraft friendship sequel futuristic space;Star Trek Into Darkness;132.0;7.4;4418;J.J. Abrams
81005;Action Family Fantasy;based on fairy tale giant;Jack the Giant Slayer;114.0;5.5;2598;Bryan Singer
64682;Drama Romance;based on novel infidelity obsession hope 3d;The Great Gatsby;143.0;7.3;3769;Baz Luhrmann
9543;Adventure Fantasy Action Romance;persia sandstorm brother against brother armageddon regent;Prince of Persia: The Sands of Time;116.0;6.2;2317;Mike Newell
68726;Action Science_Fiction Adventure;dystopia giant robot giant monster apocalypse imax;Pacific Rim;131.0;6.7;4794;Guillermo del Toro
38356;Action Science_Fiction Adventure;moon spacecraft traitor bodyguard alien planet;Transformers: Dark of the Moon;154.0;6.1;3299;Michael Bay
217;Adventure Action;saving the world riddle whip treasure mexico city;Indiana Jones and the Kingdom of the Crystal Skull;122.0;5.7;2495;Steven Spielberg
105864;Adventure Animation Family;tyrannosaurus rex friends alternate history dinosaur fear;The Good Dinosaur;93.0;6.6;1736;Peter Sohn
62177;Animation Adventure Comedy Family Action;scotland rebel bravery kingdom archer;Brave;93.0;6.7;4641;Brenda Chapman
188927;Action Adventure Science_Fiction;sequel stranded hatred space opera;Star Trek Beyond;122.0;6.6;2568;Justin Lin
10681;Animation Family;romantic comedy;WALL·E;98.0;7.8;6296;Andrew Stanton
5174;Action Comedy Crime Thriller;ambassador;Rush Hour 3;91.0;6.1;783;Brett Ratner
14161;Action Adventure Science_Fiction;civilization natural disaster end of the world disaster apocalypse;2012;158.0;5.6;4903;Roland Emmerich
17979;Animation Drama;holiday based on novel victorian england money christmas eve;A Christmas Carol;96.0;6.6;1095;Robert Zemeckis
76757;Science_Fiction Fantasy Action Adventure;jupiter space woman director 3d interspecies romance;Jupiter Ascending;124.0;5.2;2768;Lilly Wachowski
258489;Action Adventure;africa feral child tarzan jungle animal attack;The Legend of Tarzan;109.0;5.5;2430;David Yates
411;Adventure Family Fantasy;saving the world witch based on novel brother sister relationship self sacrifice;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;143.0;6.7;2629;Andrew Adamson
246655;Science_Fiction;mutant supernatural powers marvel comic superhero based on comic book;X-Men: Apocalypse;144.0;6.4;4721;Bryan Singer
155;Drama Action Crime Thriller;dc comics crime fighter secret identity scarecrow sadism;The Dark Knight;152.0;8.2;12002;Christopher Nolan
14160;Animation Comedy Family Adventure;age difference central and south america balloon animation floating in the air;Up;96.0;7.7;6870;Pete Docter
15512;Animation Family Adventure Science_Fiction;alien giant robot duringcreditsstinger;Monsters vs Aliens;94.0;6.0;1423;Conrad Vernon
1726;Action Science_Fiction Adventure;middle east arms dealer malibu marvel comic superhero;Iron Man;126.0;7.4;8776;Jon Favreau
44826;Adventure Drama Family;library clock film director key toy;Hugo;126.0;7.0;2141;Martin Scorsese
8487;Action Adventure Comedy Science_Fiction Western;steampunk based on tv series steam locomotive drag;Wild Wild West;106.0;5.1;1020;Barry Sonnenfeld
1735;Adventure Action Fantasy;;The Mummy: Tomb of the Dragon Emperor;112.0;5.2;1387;Rob Cohen
297761;Action Adventure Crime Fantasy Science_Fiction;dc comics shared universe anti hero secret mission villain;Suicide Squad;123.0;5.9;7458;David Ayer
2698;Fantasy Comedy Family;father son relationship daily life married couple support father;Evan Almighty;96.0;5.3;1151;Tom Shadyac
137113;Action Science_Fiction;deja vu time warp restart dystopia war;Edge of Tomorrow;113.0;7.6;4858;Doug Liman
9804;Adventure Action;ocean tattoo mutant water dystopia;Waterworld;135.0;5.9;992;Kevin Reynolds
14869;Adventure Action Thriller Science_Fiction;terrorist secret hostage technology warhead;G.I. Joe: The Rise of Cobra;118.0;5.6;1962;Stephen Sommers
150540;Drama Comedy Animation Family;dream cartoon imaginary friend animation family;Inside Out;94.0;8.0;6560;Pete Docter
278927;Family Adventure Drama Fantasy;based on novel snake wolf elephant tiger;The Jungle Book;106.0;6.7;2892;Jon Favreau
10138;Adventure Action Science_Fiction;malibu marvel comic superhero based on comic book revenge;Iron Man 2;124.0;6.6;6849;Jon Favreau
58595;Adventure Fantasy Drama;queen magic fairy tale immortality forest;Snow White and the Huntsman;127.0;5.8;3118;Rupert Sanders
102651;Fantasy Adventure Action Family Romance;fairy tale villain sleeping beauty dark fantasy based on fairy tale;Maleficent;97.0;7.0;4496;Robert Stromberg
119450;Science_Fiction Action Drama Thriller;leader colony post-apocalyptic dystopia forest;Dawn of the Planet of the Apes;130.0;7.3;4410;Matt Reeves
79698;Action Adventure Science_Fiction Romance;;The Lovers;109.0;4.8;34;Roland Joff\u00e9
64686;Drama Action Adventure Fantasy;japan suicide samurai based on true story samurai sword;47 Ronin;119.0;5.9;1326;Carl Rinsch
100402;Action Adventure Science_Fiction;washington d.c. future shield marvel comic superhero;Captain America: The Winter Soldier;136.0;7.6;5764;Anthony Russo
10192;Comedy Adventure Fantasy Animation Family;ogre 3d;Shrek Forever After;93.0;6.0;1959;Mike Mitchell
158852;Adventure Family Mystery Science_Fiction;inventor apocalypse destiny imax dreamer;Tomorrowland;130.0;6.2;2846;Brad Bird
177572;Adventure Family Animation Action Comedy;brother brother relationship hero talent revenge best friend;Big Hero 6;102.0;7.8;6135;Chris Williams
82690;Family Animation Comedy Adventure;support group product placement bullying racing arcade;Wreck-It Ralph;108.0;7.1;4570;Rich Moore
5255;Adventure Animation Family Fantasy;santa claus nerd faith gift bell;The Polar Express;100.0;6.4;1474;Robert Zemeckis
47933;Action Adventure Science_Fiction;alternate history alien invasion;Independence Day: Resurgence;120.0;4.9;2491;Roland Emmerich
10191;Fantasy Adventure Animation Family;flying blacksmith arena island night;How to Train Your Dragon;98.0;7.5;4227;Chris Sanders
296;Action Thriller Science_Fiction;saving the world artificial intelligence man vs machine cyborg killer robot;Terminator 3: Rise of the Machines;109.0;5.9;2143;Jonathan Mostow
118340;Action Science_Fiction Adventure;marvel comic spaceship space outer space orphan;Guardians of the Galaxy;121.0;7.9;9742;James Gunn
157336;Adventure Drama Science_Fiction;saving the world artificial intelligence father son relationship single parent nasa;Interstellar;169.0;8.1;10867;Christopher Nolan
27205;Action Thriller Science_Fiction Mystery Adventure;loss of lover dream kidnapping sleep subconsciousness;Inception;148.0;8.1;13752;Christopher Nolan
315011;Action Adventure Drama Horror Science_Fiction;monster godzilla giant monster destruction kaiju;シン・ゴジラ;120.0;6.5;143;Hideaki Anno
49051;Adventure Fantasy Action;riddle elves dwarves orcs middle-earth (tolkien);The Hobbit: An Unexpected Journey;169.0;7.0;8297;Peter Jackson
9799;Action Crime Thriller;street gang car race undercover auto-tuning los angeles;The Fast and the Furious;106.0;6.6;3428;Rob Cohen
4922;Fantasy Drama Thriller Mystery Romance;diary navy funeral tea travel;The Curious Case of Benjamin Button;166.0;7.3;3292;David Fincher
49538;Action Science_Fiction Adventure;cia mutant mine marvel comic superhero;X-Men: First Class;132.0;7.1;5181;Matthew Vaughn
131634;Action Adventure Science_Fiction;revolution strong woman dystopia game of death 3d;The Hunger Games: Mockingjay - Part 2;137.0;6.6;3984;Francis Lawrence
27022;Fantasy Adventure Action Comedy Drama;witch fire wolf fountain magic;The Sorcerer's Apprentice;109.0;5.8;1470;Jon Turteltaub
503;Adventure Action Drama Thriller;new year's eve fire drowning cataclysm loss of father;Poseidon;99.0;5.5;583;Wolfgang Petersen
241259;Fantasy;based on novel clock queen sequel alice in wonderland;Alice Through the Looking Glass;113.0;6.5;1725;James Bobin
68735;Action Adventure Fantasy;video game elves orcs magic chase;Warcraft;123.0;6.3;2268;Duncan Jones
10140;Adventure Family Fantasy;based on novel magic good vs evil king narnia;The Chronicles of Narnia: The Voyage of the Dawn Treader;113.0;6.2;1514;Michael Apted
676;History Romance War;nurse patriotism hawaii world war ii pilot;Pearl Harbor;183.0;6.6;1791;Michael Bay
1858;Adventure Science_Fiction Action;destroy transformation alien based on toy transformers;Transformers;144.0;6.6;4040;Michael Bay
1966;War History Action Adventure Drama;aristotle egypt greece persia elephant;Alexander;175.0;5.6;927;Oliver Stone
675;Adventure Fantasy Family Mystery;prophecy witch loss of lover magic cutting the cord;Harry Potter and the Order of the Phoenix;138.0;7.4;5494;David Yates
674;Adventure Fantasy Family;magic dying and death broom sorcerer's apprentice school of witchcraft;Harry Potter and the Goblet of Fire;157.0;7.5;5608;Mike Newell
8960;Fantasy Action;flying alcohol love of one's life forbidden love lovers;Hancock;92.0;6.2;2961;Peter Berg
6479;Drama Horror Action Thriller Science_Fiction;saving the world lost civilisation post-apocalyptic dystopia matter of life and death;I Am Legend;101.0;6.9;4853;Francis Lawrence
118;Adventure Comedy Family Fantasy;london england father son relationship chocolate factory worker based on novel;Charlie and the Chocolate Factory;115.0;6.7;3624;Tim Burton
2062;Animation Comedy Family Fantasy;paris brother brother relationship expensive restaurant river cook;Ratatouille;111.0;7.5;4369;Jan Pinkava
272;Action Crime Drama;himalaya martial arts dc comics crime fighter secret identity;Batman Begins;140.0;7.5;7359;Christopher Nolan
10527;Family Animation;africa jealousy dance hunger lion;Madagascar: Escape 2 Africa;89.0;6.2;1810;Eric Darnell
18360;Adventure Fantasy Action Comedy Family;museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian;Night at the Museum: Battle of the Smithsonian;105.0;5.9;1971;Shawn Levy
2080;Adventure Action Thriller Science_Fiction;corruption mutant boxer army marvel comic;X-Men Origins: Wolverine;107.0;6.2;4021;Gavin Hood
605;Adventure Action Thriller Science_Fiction;saving the world artificial intelligence man vs machine flying philosophy;The Matrix Revolutions;129.0;6.4;3096;Lilly Wachowski
109445;Animation Adventure Family;queen musical princess betrayal snowman;Frozen;102.0;7.3;5295;Chris Buck
604;Adventure Action Thriller Science_Fiction;saving the world artificial intelligence man vs machine martial arts kung fu;The Matrix Reloaded;138.0;6.7;3443;Lilly Wachowski
76338;Action Adventure Fantasy;marvel comic superhero based on comic book hostile takeover norse mythology;Thor: The Dark World;112.0;6.8;4755;Alan Taylor
76341;Action Adventure Science_Fiction Thriller;future chase post-apocalyptic dystopia australia;Mad Max: Fury Road;120.0;7.2;9427;George Miller
13448;Thriller Mystery;rome vatican based on novel symbolism christian;Angels & Demons;138.0;6.5;2129;Ron Howard
10195;Adventure Fantasy Action;new mexico banishment shield marvel comic hammer;Thor;115.0;6.6;6525;Kenneth Branagh
13053;Animation Family Adventure Comedy;hamster kids and family animal cat vs dog duringcreditsstinger;Bolt;98.0;6.3;1750;Chris Williams
19585;Fantasy Action Adventure Family Comedy;dyr duringcreditsstinger;G-Force;88.0;5.1;510;Hoyt Yeatman
57165;Adventure;underworld hades mythology greek mythology zeus;Wrath of the Titans;99.0;5.5;1431;Jonathan Liebesman
62213;Comedy Fantasy;witch imprisonment vampire curse fish out of water;Dark Shadows;113.0;5.7;2320;Tim Burton
177677;Action Adventure Thriller;london england spy austria villain sequel;Mission: Impossible - Rogue Nation;131.0;7.1;3224;Christopher McQuarrie
7978;Drama Horror Thriller;father son relationship victorian england remake rural setting werewolf;The Wolfman;102.0;5.5;549;Joe Johnston
5559;Family Animation Adventure Comedy;factory worker tennis flower florist flower shop;Bee Movie;91.0;5.7;1171;Steve Hickner
10196;Action Adventure Family Fantasy;fire ice war ship prince kingdom;The Last Airbender;103.0;4.7;1151;M. Night Shyamalan
956;Adventure Action Thriller;berlin cia vatican white house secret identity;Mission: Impossible III;126.0;6.5;2028;J.J. Abrams
117251;Action Drama Thriller;usa president conspiracy secret service the white house;White House Down;131.0;6.4;1891;Roland Emmerich
50321;Adventure Animation Family;boy alien rescue martian alien abduction;Mars Needs Moms;88.0;5.5;199;Simon Wells
11619;Adventure Animation Comedy Family;london england underworld return ship frog;Flushed Away;85.0;6.0;874;David Bowers
266647;Adventure Family Fantasy;flying magic fairy tale peter pan mermaid;Pan;111.0;5.9;954;Joe Wright
82703;Animation Adventure Family;father son relationship egypt intelligence adoption time travel;Mr. Peabody & Sherman;92.0;6.7;843;Rob Minkoff
652;Adventure Drama War;brother brother relationship adultery mythology beauty trojan war;Troy;163.0;6.9;2759;Wolfgang Petersen
80321;Animation Family;madagascar 3d;Madagascar 3: Europe's Most Wanted;93.0;6.4;1808;Conrad Vernon
36669;Adventure Action Thriller;laser british secret service secret service agent space based weapon;Die Another Day;133.0;5.8;1092;Lee Tamahori
43074;Action Fantasy Comedy;female friendship ghost hunting reboot ghost;Ghostbusters;116.0;5.3;2142;Paul Feig
95;Action Thriller Science_Fiction Adventure;saving the world paris moon cataclysm asteroid;Armageddon;151.0;6.4;2482;Michael Bay
608;Action Adventure Comedy Science_Fiction;saving the world secret identity sun glasses undercover space marine;Men in Black II;88.0;6.0;3114;Barry Sonnenfeld
2310;Adventure Action Animation;denmark nordic mythology lie pride and vanity folk hero;Beowulf;115.0;5.5;841;Robert Zemeckis
140300;Action Adventure Animation Comedy Family;china martial arts kung fu village panda;Kung Fu Panda 3;95.0;6.7;1603;Jennifer Yuh Nelson
56292;Action Thriller Adventure;fight sequel mission explosion broken arm;Mission: Impossible - Ghost Protocol;133.0;6.8;3972;Brad Bird
81188;Fantasy Animation Family;dream santa claus nightmare easter bunny tooth fairy;Rise of the Guardians;97.0;7.1;1922;Peter Ramsey
7552;Comedy;based on novel desperation robber hold-up robbery remake;Fun with Dick and Jane;90.0;5.9;627;Dean Parisot
616;Drama Action War History;japan war crimes sense of guilt swordplay general;The Last Samurai;154.0;7.3;1895;Edward Zwick
147441;Adventure Drama Action;moses bible ancient egypt 3d ramses;Exodus: Gods and Kings;150.0;5.6;1921;Ridley Scott
13475;Science_Fiction Action Adventure;spacecraft teleportation space mission parachute time travel;Star Trek;127.0;7.4;4518;J.J. Abrams
557;Fantasy Action;loss of lover spider thanksgiving bad boss hostility;Spider-Man;121.0;6.8;5265;Sam Raimi
82702;Fantasy Action Adventure Animation Comedy;father son relationship wife husband relationship sacrifice viking sequel;How to Train Your Dragon 2;102.0;7.6;3106;Dean DeBlois
205584;Fantasy;egypt underworld fight mythology nile;Gods of Egypt;127.0;5.3;1277;Alex Proyas
10048;Action;artificial intelligence u.s. navy aftercreditsstinger;Stealth;121.0;4.9;331;Rob Cohen
13183;Action Mystery Science_Fiction;dc comics secret identity mass murder retirement based on comic book;Watchmen;163.0;7.0;2811;Zack Snyder
944;Action Adventure Comedy Crime Thriller;lapd house on fire revolver;Lethal Weapon 4;127.0;6.3;767;Richard Donner
1927;Drama Action Science_Fiction;california san francisco monster general gun;Hulk;138.0;5.3;1533;Ang Lee
7364;Action Adventure Comedy Drama Mystery;tyrant ironclad ship;Sahara;124.0;5.7;434;Breck Eisner
2114;Adventure Action Animation Fantasy Science_Fiction;battle assignment dystopia alien downfall scientist;Final Fantasy: The Spirits Within;106.0;5.9;433;Hironobu Sakaguchi
1771;Action Adventure Science_Fiction;new york usa world war ii nazis marvel comic;Captain America: The First Avenger;124.0;6.6;7047;Joe Johnston
36643;Adventure Action Thriller;british mission oil heiress bilbao spain;The World Is Not Enough;128.0;6.0;862;Michael Apted
8619;Adventure;naturalist frigate self surgery sea battle weevil;Master and Commander: The Far Side of the World;138.0;6.9;790;Peter Weir
50620;Adventure Fantasy Drama Romance;vampire romance villainess super strength imprinting;The Twilight Saga: Breaking Dawn - Part 2;115.0;6.1;2553;Bill Condon
65759;Animation Comedy Family;penguin musical aftercreditsstinger 3d;Happy Feet Two;100.0;5.8;373;George Miller
1724;Science_Fiction Action Adventure;new york rio de janeiro marvel comic superhero based on comic book;The Incredible Hulk;114.0;6.1;3021;Louis Leterrier
267935;Adventure Family Fantasy;london england england based on novel queen little girl;The BFG;120.0;6.0;1000;Steven Spielberg
281957;Western Drama Adventure Thriller;father son relationship rape based on novel mountains winter;The Revenant;156.0;7.3;6396;Alejandro Gonz
77950;Animation Family;underdog car race dream speed power;Turbo;96.0;6.1;1074;David Soren
44896;Animation Comedy Family Western Adventure;sheriff nevada pet rango chameleon;Rango;107.0;6.6;2051;Gore Verbinski
270946;Family Animation Adventure Comedy;penguin madagascar 3d;Penguins of Madagascar;92.0;6.5;1346;Eric Darnell
2503;Action Drama Mystery Thriller;paris corruption madrid assassin based on novel;The Bourne Ultimatum;115.0;7.3;2888;Paul Greengrass
9502;Adventure Animation Family Comedy;china martial arts kung fu mentor snake;Kung Fu Panda;90.0;6.9;3145;Mark Osborne
102899;Science_Fiction Action Adventure;marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger;Ant-Man;117.0;7.0;5880;Peyton Reed
101299;Adventure Action Science_Fiction;competition based on novel mentor secret factory;The Hunger Games: Catching Fire;146.0;7.4;6495;Francis Lawrence
228161;Fantasy Comedy Animation Science_Fiction Family;friendship spaceship space alien alien invasion;Home;94.0;6.8;1519;Tim Johnson
74;Adventure Thriller Science_Fiction;post traumatic stress  disorder new jersey airplane dystopia daughter;War of the Worlds;116.0;6.2;2322;Steven Spielberg
8961;Adventure Action Comedy Thriller Crime;miami ku klux klan cuba undercover mexican standoff;Bad Boys II;147.0;6.3;1564;Michael Bay
417859;Action Adventure Animation Family Fantasy;adventure fairy-tale figure;Puss in Boots;90.0;6.4;451;Chris Miller
27576;Action Mystery Thriller;assassination spy cia kidnapping cold war;Salt;100.0;6.2;2093;Phillip Noyce
86834;Drama Adventure;bible god noah 3d;Noah;139.0;5.6;2350;Darren Aronofsky
673;Adventure Fantasy Family;flying traitor magic cutting the cord child hero;Harry Potter and the Prisoner of Azkaban;141.0;7.7;5877;Alfonso Cuar
6972;Drama;missionary world war ii ranch australia british;Australia;165.0;6.3;694;Baz Luhrmann
82700;Science_Fiction Action Adventure;dystopia;After Earth;100.0;5.0;2532;M. Night Shyamalan
10567;Animation Family;cataclysm asteroid leader comet animation;Dinosaur;82.0;6.2;542;Ralph Zondag
181533;Adventure Comedy Fantasy Family;night watchman museum natural history history smithsonian;Night at the Museum: Secret of the Tomb;97.0;6.1;1851;Shawn Levy
38055;Animation Action Comedy Family Science_Fiction;saving the world date prison secret identity fish;Megamind;95.0;6.7;1918;Tom McGrath
671;Adventure Fantasy Family;witch christmas party magic cutting the cord halloween;Harry Potter and the Philosopher's Stone;152.0;7.5;7006;Chris Columbus
49524;Fantasy Action Comedy Crime;gold police operation partner revenge undead;R.I.P.D.;96.0;5.4;1260;Robert Schwentke
22;Adventure Fantasy Action;exotic island blacksmith east india trading company gold marriage proposal;Pirates of the Caribbean: The Curse of the Black Pearl;143.0;7.5;6985;Gore Verbinski
131631;Science_Fiction Adventure Thriller;resistance post-apocalyptic dystopia war sequel;The Hunger Games: Mockingjay - Part 1;123.0;6.6;5584;Francis Lawrence
591;Thriller Mystery;paris holy grail christianity monk based on novel;The Da Vinci Code;149.0;6.5;2704;Ron Howard
172385;Animation Adventure Comedy Family;bird sequel jungle audition amazon rainforest;Rio 2;102.0;6.3;978;Carlos Saldanha
36658;Adventure Action Science_Fiction Thriller;mutant marvel comic superhero based on comic book superhuman;X2;133.0;6.8;3506;Bryan Singer
51497;Action Thriller Crime;brazil fbi freedom escape from prison car crash;Fast Five;130.0;7.1;2438;Justin Lin
58574;Adventure Action Crime Mystery;detective inspector steampunk criminal mastermind;Sherlock Holmes: A Game of Shadows;129.0;7.0;3886;Guy Ritchie
18823;Adventure Fantasy Action;hades mythology greek mythology zeus medusa;Clash of the Titans;106.0;5.6;2233;Louis Leterrier
861;Action Adventure Science_Fiction;oxygen falsely accused resistance mars double life;Total Recall;113.0;7.1;1710;Paul Verhoeven
1911;Adventure Fantasy Action;witch cave arabian scandinavia bagdad;The 13th Warrior;102.0;6.4;510;John McTiernan
49040;Action Thriller;assassin wolf maryland suicide by gunshot rooftop;The Bourne Legacy;120.0;6.0;2651;Tony Gilroy
415;Action Crime Fantasy;double life dc comics dual identity crime fighter fictional place;Batman & Robin;125.0;4.2;1418;Joel Schumacher
8871;Family Comedy Fantasy;holiday christmas party new love santa claus village;How the Grinch Stole Christmas;104.0;6.2;1386;Ron Howard
955;Adventure Action Thriller;terror spain cia helicopter secret identity;Mission: Impossible II;123.0;5.9;1928;John Woo
2133;Drama;u.s. air force grocery jamaican meteorologist rescue boat;The Perfect Storm;130.0;6.2;597;Wolfgang Petersen
1979;Adventure Fantasy Action Thriller;fire helicopter surfboard mask satellite;4: Rise of the Silver Surfer;92.0;5.4;2589;Tim Story
87827;Adventure Drama Action;ocean shipwreck hindu tiger faith;Life of Pi;127.0;7.2;5797;Ang Lee
1250;Thriller Action Fantasy Horror;mephisto religion and supernatural dying and death devil's son ghost world;Ghost Rider;114.0;5.2;1712;Mark Steven Johnson
324668;Action Thriller;assassin amnesia flashback;Jason Bourne;123.0;5.9;2341;Paul Greengrass
9471;Action Adventure Comedy;robbery secret identity secret agent;Charlie's Angels: Full Throttle;106.0;5.2;914;McG
70981;Science_Fiction Adventure Mystery;android dystopia alien spin off creation;Prometheus;124.0;6.3;5080;Ridley Scott
10996;Family Adventure Animation Comedy;mouse falcon bird friendship family;Stuart Little 2;78.0;5.4;613;Rob Minkoff
68724;Science_Fiction Action Drama Thriller;dystopia space station class conflict;Elysium;109.0;6.4;3439;Neill Blomkamp
2789;Action Science_Fiction;prison dystopia matter of life and death outer space intergalactic travel;The Chronicles of Riddick;119.0;6.3;1570;David Twohy
97020;Action Science_Fiction;cyborg future dystopia police remake;RoboCop;102.0;5.7;2342;Jos\u00e9 Padilha
7459;Action Family Science_Fiction;car race loss of brother chimp family duringcreditsstinger;Speed Racer;135.0;5.7;354;Lilly Wachowski
42888;Comedy Drama Romance;love triangle baseball athlete aftercreditsstinger;How Do You Know;121.0;4.9;223;James L. Brooks
37834;Action Comedy;spy airport gas station garage pilot;Knight and Day;109.0;5.9;1547;James Mangold
75612;Action Science_Fiction Adventure Mystery;spacecraft dystopia space drone imax;Oblivion;124.0;6.4;4800;Joseph Kosinski
1895;Science_Fiction Adventure Action;showdown death star vision cult figure hatred;Star Wars: Episode III - Revenge of the Sith;140.0;7.1;4116;George Lucas
1894;Adventure Action Science_Fiction;senate investigation army death star jedi;Star Wars: Episode II - Attack of the Clones;142.0;6.4;3992;George Lucas
